,price,price_normalised,average_score,average_bert_pred_prob_pos,average_bert_pred_prob_nonpos,average_sentiment_vader,review_counts,average_sentiment_score,adjusted_average_score,adjusted_average_sentiment_score,adjusted_average_bert_pred_prob_pos,adjusted_average_bert_pred_prob_nonpos,adjusted_average_sentiment_vader
count,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
mean,26.55442553,0.049293839,3.934332666,0.595745167,0.404254832,0.609985902,10.13404255,0.873049645,3.535718478,0.873049645,0.555285277,0.444714723,0.564463039
std,18.71884883,1.01618791,0.698885732,0.133371146,0.133371145,0.286715382,13.00782278,0.333035469,0.519636893,0.333035469,0.080054062,0.080054062,0.154925298
min,0.74,-1.352090796,1.25,0.126799326,0.035500534,-0.78635,4,0,1.609958506,0,0.239054783,0.133657488,-0.422591667
25%,12.6125,-0.707569807,3.555555556,0.512507863,0.310369264,0.4589975,5,1,3.214285714,1,0.504756437,0.409791895,0.483275556
50%,20.165,-0.297568142,4,0.605324197,0.394675803,0.664294318,6,1,3.428571429,1,0.547720605,0.452279399,0.578348214
75%,36.475,0.587850879,4.469607843,0.689630762,0.487492112,0.836349124,10,1,3.727272727,1,0.590208102,0.495243557,0.645908793
max,88.99,3.438726409,5,0.964499475,0.873200652,0.99022,241,1,5,1,0.866342525,0.760945218,0.9685
