,feature,coefficient
2,console_Game Boy Advance,0.3238306833859563
21005,tested,0.3235539360374057
13430,models,0.3232967553640838
9717,harsh,0.32317670021899136
18270,scenes,0.3221129129489173
22740,village,0.32156499431964164
22481,utilize,0.321368632599107
21859,truth,0.32112471975050283
15375,performance,0.3204041523301951
8337,forgotten,0.3197044203211733
15044,packs,0.3190734872113169
6136,disposal,0.31889433124705013
13590,mortal,0.31879112770265045
5900,devil,0.3178346369447313
5275,cup,0.3172709131725597
21951,twisted,0.31697995314512756
16015,possible,0.31642335817460815
21723,treasures,0.31582822730267035
18161,sands,0.3153684471887858
12253,lines,0.31469304771099377
13244,military,0.31464368262709735
5183,cross,0.3144672949237452
8655,future,0.314123270813301
2875,book,0.3133235359670335
10538,imagine,0.3132170192905569
12042,legendary,0.3127652358737101
1459,animations,0.3124642270540441
6021,direct,0.31180343294266405
22909,wall,0.3116908716643384
12835,marvel,0.31151493220638216
261,2000,0.3105638394151981
4785,control,0.3102779233939331
9983,high,0.30949331333607183
20737,tale,0.3083258107841871
8054,firstperson,0.30763232507886035
9065,global,0.3064181643279928
16965,realtime,0.30629827755038447
9453,guests,0.30530006752434075
21631,traffic,0.3045756214260439
12264,link,0.30443813974592643
1807,assassins,0.30362203721556036
14141,nextgeneration,0.3028464788497283
3160,brutal,0.3024854392435009
9715,harry,0.30125314800361186
2291,bass,0.3006589154341695
15838,plot,0.30041270973419126
12023,leaving,0.30038604024031973
16596,puzzle,0.29961085094607415
4762,continue,0.29952597821106697
14785,option,0.29952078198074855
20734,taking,0.29891482714778855
2393,beautiful,0.2968159133355167
8340,form,0.296457555318745
1183,alien,0.2960502019643707
0,price_normalised,0.2959704478786335
11014,intensity,0.2956699210262729
5122,creed,0.2951023112177516
6735,edition,0.29492630412599097
12789,mario,0.2948573590596438
16231,prey,0.2945766567435405
23183,west,0.2945615653057648
21758,tribes,0.2940603722173969
7827,features,0.2935055263399674
2748,blood,0.29275809189742696
2327,battlefront,0.29275384315369146
20476,supported,0.29159755052174263
11022,interact,0.2915101079003599
23514,worst,0.29138795428867265
9463,guild,0.29134686532750426
4553,computer,0.2910097830919169
7547,extraordinary,0.29051753220487464
21541,total,0.2901050854050866
17476,resources,0.28937706204055524
20849,teambased,0.2868863752988208
7563,eye,0.2867393860452967
21589,towns,0.2863050867900768
18413,seals,0.286221960680598
1224,allout,0.2861064379793815
314,2142,0.2856832949347005
5808,designer,0.2856252407043026
4629,confront,0.2852590523490484
18500,sega,0.28508765362639193
7980,film,0.28464688360231827
1314,america,0.2832572223112773
7532,extermination,0.2819130762416087
8789,gaming,0.28183740356061987
21488,tony,0.28149977629002687
13854,mvp,0.2810712897474384
15957,popular,0.2802819567639196
5694,delivers,0.27968014315282885
10241,horrific,0.2790998165377833
13952,nations,0.2790128403230273
1507,anticipated,0.2788232377877828
8019,finish,0.27879672298995073
16254,prince,0.27852298262085784
16188,presents,0.27794851841326795
7778,fate,0.2778345267952408
11917,largest,0.27733959095344257
7668,fallout,0.2771794253564905
8373,forward,0.2771079959272423
14179,nights,0.2765622454920666
3710,cell,0.27563430501671154
17463,resistance,0.27539279945049905
7225,espn,0.27425854813568595
